駅名,緯度,経度
本町駅,34.6820067,135.4988295
心斎橋駅,34.6747701,135.5003959
梅田駅,34.7005588,135.4957339
なんば〔Osaka Metro〕駅,34.6670979,135.5003424
中津〔Osaka Metro〕駅,34.7122972,135.4898433
大国町駅,34.6559111,135.4978446
北浜駅,34.6916963,135.5066515
天満橋駅,34.690328,135.516503
四ツ橋駅,34.674135,135.496727
大国町駅,34.6559111,135.4978446
西中島南方駅,34.726407,135.4985862
新大阪駅,34.7334658,135.5002547
動物園前駅,34.6489686,135.5035809
天王寺駅,34.6473102,135.513869
東三国駅,34.7410955,135.4985094
江坂駅,34.758768,135.4970962
昭和町駅,34.6335455,135.5169256
西田辺駅,34.6216124,135.5151386
渡辺橋駅,34.693688,135.494671
なにわ橋駅,34.6928554,135.5061422
中之島駅,34.69110620000001,135.4870336
京橋駅,34.6966897,135.5339121
野江〔京阪線〕駅,34.7071967,135.5431008
関目駅,34.7126865,135.5469429
守口市〔京阪線〕駅,34.7353673,135.565158
森小路駅,34.7194481,135.5516198
千林駅,34.7243486,135.5548716
滝井駅,34.727797,135.557359
堺筋本町駅,34.6818289,135.5069759
阿波座駅,34.6812812,135.4865434
谷町四丁目駅,34.6821069,135.5172527
九条駅,34.675207,135.4733981
森ノ宮駅,34.6817307,135.5333561
弁天町駅,34.6691788,135.4625765
緑橋駅,34.6809276,135.5445892
深江橋駅,34.679015,135.5580041
朝潮橋駅,34.660821,135.4487601
桜川駅,34.6684262,135.488266
日本橋駅,35.6821193,139.7747086
西長堀駅,34.6752108,135.4871747
谷町九丁目駅,34.6665236,135.5152679
鶴橋駅,34.66611,135.53045
玉造駅,34.673469,135.532835
南森町駅,34.697549,135.510864
中崎町駅,34.70693990000001,135.5053825
天神橋筋六丁目駅,34.7109629,135.5107797
都島駅,34.7089068,135.5260292
福島駅,37.7542123,140.4592164
天満駅,34.7048863,135.5122191
野田駅,34.6890175,135.4749014
桜ノ宮駅,34.704987,135.5206103
西九条駅,34.6821426,135.4661491
今宮駅,34.6542897,135.4928544
福島駅,37.7542123,140.4592164
野田駅,34.6890175,135.4749014
花園町駅,34.644166,135.496506
肥後橋駅,34.691661,135.496227
岸里駅,34.634667,135.4939389
近鉄日本橋駅,34.6671526,135.5061054
大阪上本町駅,34.6655536,135.5207379
中津駅,33.5991657,131.1907816
十三駅,34.720213,135.48206
塚本駅,34.7126028,135.4688636
恵美須町駅,34.6549385,135.5055773
扇町駅,34.7037154,135.5108915
天下茶屋駅,34.6367872,135.4965839
今池駅,35.169724,136.938389
今船駅,34.642796,135.5015951
今宮戎駅,34.654984,135.5015601
崇禅寺駅,34.7310707,135.5102257
緑地公園駅,34.775414,135.4954201
