駅名,緯度,経度
玉川駅,34.6894491,135.4762889
今里駅,34.6646652,135.5498616
野田阪神駅,34.6942884,135.4748237
新深江駅,34.6681193,135.5530124
小路駅,34.6616404,135.5562929
北巽駅,34.65294069999999,135.5549864
南巽駅,34.6431864,135.5532536
今宮駅,34.6542897,135.4928544
芦原橋駅,34.6591371,135.4888992
寺田町駅,34.6477776,135.52342
大阪城公園駅,34.6885789,135.534485
桃谷駅,34.6584154,135.5279193
今宮戎駅,34.654984,135.5015601
萩ノ茶屋駅,34.6455506,135.4990092
帝塚山駅,34.6218383,135.498352
住吉東駅,34.612934,135.4974327
堺東駅,34.5753781,135.4847961
今船駅,34.642796,135.5015951
松田町駅,34.6392453,135.5008735
北天下茶屋駅,34.6365283,135.5002002
聖天坂駅,34.6330772,135.4994533
天神ノ森駅,34.6296254,135.4980714
東玉出駅,34.6265931,135.4958567
塚西駅,34.6235399,135.4946536
東粉浜駅,34.6180858,135.4925626
崇禅寺駅,34.7310707,135.5102257
淡路駅,34.7393654,135.5169941
上新庄駅,34.7503307,135.5330233
相川駅,34.7573765,135.5335821
南茨木駅,34.8024158,135.5650979
正雀駅,34.775319,135.545442
朝潮橋駅,34.660821,135.4487601
高井田駅,34.5714551,135.6386787
大阪港駅,34.653927,135.4344189
コスモスクエア駅,34.6427224,135.412543
長田駅,,
天下茶屋駅,34.6367872,135.4965839
都島駅,34.7089068,135.5260292
野江内代駅,34.7092603,135.5380191
関目高殿駅,34.7151067,135.5456176
阿倍野駅,34.642719,135.5120601
四天王寺前夕陽ヶ丘駅,34.65831000000001,135.514163
千林大宮駅,34.7237691,135.5491039
文の里駅,34.6359401,135.518113
太子橋今市駅,34.7311527,135.5545727
田辺駅,34.6285405,135.5252258
守口駅,34.7383302,135.5640688
駒川中野駅,34.6215586,135.5328645
緑地公園駅,34.775414,135.4954201
桃山台駅,34.7925613,135.4973919
千里中央駅,34.8074603,135.4952222
玉造駅,34.673469,135.532835
大正駅,34.6657822,135.4792475
大阪ビジネスパーク駅,34.6917963,135.5298037
今福鶴見駅,34.7020223,135.560165
玉出駅,34.6236685,135.4902849
北加賀屋駅,34.6214001,135.4789988
住之江公園駅,34.6091445,135.4729536
神崎川駅,34.7322946,135.4727549
園田駅,34.7519029,135.4479231
西宮北口駅,34.7459022,135.356664
塚口駅,34.7527642,135.4158933
武庫之荘駅,34.751567,135.393452
あびこ駅,34.5988401,135.5127691
北花田駅,34.5821885,135.51645
新金岡駅,34.5676675,135.5150145
土居駅,34.7307573,135.5601584
萱島駅,34.747463,135.611131
寝屋川市駅,34.7639892,135.6206697
西三荘駅,34.73743049999999,135.5757171
香里園駅,34.7846267,135.630978
枚方市駅,34.8160589,135.6485734
門真市駅,34.7380461,135.582928
古川橋駅,34.739852,135.591411
光善寺駅,34.797569,135.630072
東淀川駅,34.7395007,135.5041997
尼崎駅,34.731875,135.43175
吹田駅,34.7630033,135.5238259
立花駅,34.7379828,135.3991199
岸辺駅,34.7770465,135.5415606
甲子園口駅,34.7390299,135.3749996
西宮駅,34.7389576,135.3486545
茨木駅,34.8154634,135.5623993
千里丘駅,34.7913226,135.5513894
淀川駅,34.696265,135.4651128
尼崎駅,34.731875,135.43175
吹田駅,34.7630033,135.5238259
立花駅,34.7379828,135.3991199
塚口駅,34.7527642,135.4158933
伊丹駅,34.7806526,135.4216623
猪名寺駅,34.7641058,135.4226146
平野駅,34.6079989,135.5582201
美章園駅,34.638556,135.523726
南田辺駅,34.62567629999999,135.5206237
