地点名,寺名,評価,口コミ数,緯度,経度
梅田,太融寺,4.0,835,34.701823,135.5041035
梅田,地蔵寺,4.0,7,34.6962919,135.4883003
梅田,龍渕寺,4.0,7,34.6999556,135.5056332
梅田,圓勝寺,3.7,6,34.7016185,135.4852475
梅田,浄祐寺,3.9,14,34.69659499999999,135.490869
梅田,本傳寺,3.6,7,34.6998468,135.5030505
梅田,善徳寺,3.6,7,34.706612,135.5043348
梅田,清風寺,4.1,64,34.7004491,135.4851078
梅田,本遇寺,3.6,5,34.6928005,135.4856496
梅田,西善寺,3.8,4,34.691992,135.485003
梅田,浄方寺,4.3,3,34.7084287,135.5060506
梅田,蓮華寺,3.8,4,34.701484,135.50544
梅田,法清寺,3.4,36,34.6986934,135.5028271
梅田,圓頓寺,2.7,3,34.70177,135.5026697
梅田,法界寺,5.0,2,34.699908,135.5026852
梅田,西善寺,0.0,0,34.7060916,135.4962063
梅田,光満寺,4.0,1,34.7064002,135.4881729
梅田,福泉寺,4.0,2,34.6944774,135.4862314
梅田,浄土真宗本願寺派 光寿山 正宣寺,4.5,2,34.70762029999999,135.5041557
梅田,善正寺,3.0,1,34.6986161,135.5052913
西宮北口,西福寺,4.5,10,34.7406183,135.3500298
西宮北口,法心寺,4.3,15,34.7482608,135.3597466
西宮北口,廣宣寺,3.9,11,34.7366395,135.3504399
西宮北口,豊乗寺,3.3,4,34.7503165,135.347624
西宮北口,大日寺,4.0,11,34.748815,135.362443
西宮北口,真光寺別院,4.0,2,34.7434307,135.3644889
西宮北口,法心寺ホール,0.0,0,34.7483347,135.3596271
西宮北口,昌林寺,3.7,3,34.7355923,135.3492061
西宮北口,観音寺,4.7,7,34.743897,135.3438574
西宮北口,海清寺,4.0,24,34.737352,135.343106
なんば,弘昌寺,4.5,14,34.6681923,135.5038692
なんば,大蓮寺,4.4,21,34.6655345,135.5114812
なんば,法案寺南坊,4.1,149,34.6694366,135.5075849
なんば,光伝寺,4.2,12,34.661093,135.5112743
なんば,妙蓮寺,3.8,10,34.670908,135.5098399
なんば,萬福寺,4.3,51,34.671799,135.4946043
なんば,心光寺,4.2,31,34.6616743,135.5114652
なんば,瑞龍寺（鉄眼寺）,3.6,40,34.6642949,135.4972247
なんば,誓得寺,4.4,5,34.6737481,135.5057169
なんば,念佛宗 無量寿寺 大阪別院,4.7,24,34.6666666,135.4916698
なんば,幸念寺,4.2,11,34.658283,135.511004
なんば,源聖寺,3.9,35,34.6637825,135.511567
なんば,超心寺,4.2,5,34.6608618,135.511258
なんば,淨國寺,4.3,33,34.66475,135.5115789
なんば,大阪 難波 超願寺(葬式/貸しホール),3.3,12,34.6630016,135.496738
なんば,宗念寺,3.8,6,34.6613686,135.5115596
なんば,龍華山 徳浄寺,4.0,2,34.6588236,135.4945069
なんば,浄土真宗本願寺派 信楽寺(しんぎょうじ),4.0,4,34.6741082,135.5048251
なんば,西念寺,4.3,9,34.6579963,135.5111552
なんば,萬福寺,4.0,37,34.6628682,135.5114551
天王寺,一心寺,4.2,6038,34.6528733,135.5109152
天王寺,一心寺三千佛堂,4.5,67,34.6527186,135.511854
天王寺,興禅寺,4.1,7,34.654989,135.511096
天王寺,遍照寺,3.5,6,34.6519931,135.5178315
天王寺,宣光寺,3.6,8,34.6431686,135.5229895
天王寺,浪速寺(毘沙門天),4.3,52,34.654925,135.503572
天王寺,尊光寺,4.3,3,34.6492203,135.5121912
天王寺,統国寺,4.0,92,34.6506052,135.5119545
天王寺,光圓寺,4.3,3,34.6502014,135.5124401
天王寺,西宝寺,4.4,5,34.6383892,135.5026922
天王寺,松園山竹林寺,3.5,12,34.6548178,135.5191572
天王寺,超願寺,3.6,19,34.6513235,135.5162852
天王寺,光円寺,5.0,1,34.6516694,135.5172982
天王寺,一心寺 仁王門,4.2,42,34.6532574,135.5115617
天王寺,泰聖寺,4.1,61,34.6560936,135.5109925
天王寺,西方寺,4.6,11,34.6541095,135.5094202
天王寺,壽法寺,4.2,24,34.6558377,135.5197005
天王寺,紹隆寺,3.0,2,34.6505305,135.5141833
天王寺,蒼龍寺,3.3,3,34.6554875,135.5192369
天王寺,天正寺,3.8,16,34.6551964,135.5188266
千里中央,瑞祥院,4.0,4,34.8013111,135.4892969
千里中央,真覚寺,4.3,6,34.8015268,135.4990443
千里中央,徳林院,4.4,5,34.8029617,135.4992138
千里中央,豊中不動尊,4.1,125,34.809008,135.4841114
千里中央,豊中不動寺 本堂,0.0,0,34.8091785,135.4839743
千里中央,豊中不動寺 山門,4.0,1,34.8085301,135.4835628
千里中央,豊中不動寺 浄め水,0.0,0,34.8090474,135.4838818
千里中央,豊中不動寺 身がわり観音,4.0,1,34.8087479,135.4836261
十三,日蓮正宗 正義山 妙栄寺,4.3,21,34.7275809,135.4920704
十三,専龍寺,4.2,5,34.7293297,135.4821866
十三,浄円寺,4.5,6,34.7146588,135.4745188
十三,圓稱寺,4.0,6,34.7142661,135.4759897
十三,信正寺,3.8,4,34.7177286,135.4757591
十三,黙照寺,3.6,8,34.7140011,135.4765295
十三,真教寺,2.9,7,34.7192354,135.4876711
十三,善久寺,5.0,5,34.7206714,135.4878922
十三,専宗寺,4.3,4,34.7234509,135.4892537
十三,黙照禅寺,0.0,0,34.7140165,135.4765556
